issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
0123-7799,,Tecno Lógicas,2012,B
1692-7311,,Equidad & Desarrollo,2011,C
0120-2456,,Anuario Colombiano De Historia Social,2015,A2
0123-7799,,Tecno Lógicas,2015,A2
1794-2470,,Nova: Publicación Científica En Ciencias Médicas,2006,C
0120-4661,,Historia Y Espacio,2014,B
1909-1621,,Revista Colombiana De Enfermeria,2012,C
0120-0380,,Boletín De Matemáticas,2011,B
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2013,B
1692-9918,,Ingenieria De Recursos Naturales Y Del Ambiente,2009,C
0120-3576,,Coyuntura Económica,2010,C
1909-0455,,Producción + Limpia,2010,B
0120-7180,,Cooperativismo & Desarrollo,2013,C
0123-4641,,Colombian Applied Linguistics Journal,2012,B
0120-4807,,Universitas Humanística,2010,A2
0121-1935,,Revista De Ciencias,2010,C
2011-4680,,Impetus,2014,C
0121-2095,,Revista Colombiana De Radiología,2009,C
0121-2095,,Revista Colombiana De Radiología,2012,B
0486-6525,,Revista Colombiana De Antropología,2013,A2
1794-7928,,Spei Domus,2012,C
1794-5240,,Medicas Uis,2011,B
1692-7311,,Equidad & Desarrollo,2015,C
0122-9893,,Revista Derecho Del Estado,2011,B
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2016,A1
0120-6222,,Colombia Amazónica,2013,C
1794-3108,,Revista Criminalidad,2009,C
0120-3932,,Economicas Cuc,2010,C
2011-804X,,"(Pensamiento), (Palabra) Y Obra",2014,B
2011-2173,,Revista Colombiana De Ciencias Hortícolas,2010,C
0120-4645,,Cuadernos De Administración,2012,A2
0123-9678,,Ventana Informática,2012,C
0123-580X,,Punto De Vista,2011,C
1794-9815,,Códices,2012,C
0122-2066,,Anuario De Historia Regional Y De Las Fronteras,2011,B
2011-7213,,Pensamiento Y Poder,2011,C
0123-8264,,Horizontes Pedagógicos,2015,C
0122-8285,,Palabra Clave,2015,A2
2011-7531,,Salud Uninorte,2013,A2
0122-820X,,Revista Respuestas,2013,C
1900-9607,,Revista Ces Medicina Veterinaria Y Zootecnia,2015,A2
1909-793X,,Revista Teckne,2013,C
1692-3324,,Revista Ingenierías Universidad De Medellín,2013,A2
2322-9381,,Trashumante,2014,C
1692-5858,,Encuentros,2014,B
1657-5997,,Aquichan,2015,A1
1657-9089,,Infancias Imágenes,2013,C
0120-971X,,Ces Odontología,2015,B
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2015,B
,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2017,B
0486-6525,,Revista Colombiana De Antropología,2017,B
0123-3122,,Persona Y Bioética,2015,A2
0123-1294,,Educación Y Educadores,2018,B
1794-1237,,Revista Eia,2018,B
1657-8961,,Pensamiento Psicológico,2018,B
2011-5474,,Revista Latinoamericana De Etnomatemática,2018,B
0120-1751,,Revista Colombiana De Estadística,2018,B
0124-2067,,Principia Iuris,2018,C
0120-100X,2145-8480,Ion,2021,C
,2422-4200,Revista Logos Ciencia 6& Tecnologia,2021,C
0123-885X,1900-5180,Revista De Estudios Sociales,2022,A1
2215-9177,2215-9177,Ces Medicina,2022,C
1900-9607,,Revista Ces Medicina Veterinaria Y Zootecnia,2018,C
0120-1751,,Revista Colombiana De Estadística,2020,B
0121-117X,,Ensayos De Economía,2015,B
0120-2812,,Acta Agronómica,2019,C
0121-3784,,Livestock Research For Rural Development,2007,B
1657-4702,2462-859X,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2021,B
0120-2596,,Lecturas De Economía,2020,B
0121-215X,2256-5442,Cuadernos De Geografía,2021,B
1794-9920,,Face Revista De La Facultad De Ciencias Economicas U De Pamplona,2016,C
1794-9998,,Diversitas : Perspectivas En Psicología,2007,C
1794-7111,,Kepes,2020,A1
0120-5587,,Lingüística Y Literatura,2020,C
0120-5307,2216-0280,Investigación Y Educación En Enfermería,2021,B
0122-8803,,Historia Caribe,2017,C
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2020,C
0122-4328,,Nodos Y Nudos,2016,B
1794-7154,,"Saber, Ciencia Y Libertad",2017,B
0120-4823,2027-2731,Signo Y Pensamiento,2022,B
,,Revista Colombiana De Biotecnologia,2015,A2
0124-8146,,Investigaciones Andina,2017,B
0123-921X,,Tecnura,2016,A2
0122-994X,,Miradas,2014,C
0121-3474,,Verba Iuris,2016,C
2011-3757,,Calle14,2013,C
1794-211X,,Vínculos,2017,C
1692-0279,,Ad-Minister Revista Escuela De Administración,2019,B
0120-6222,,Colombia Amazónica,2014,C
2145-4426,,"Trilogía. Ciencia, Tecnologia Y Sociedad",2016,C
0120-1263,,Escritos,2016,A2
1909-5759,,Revista Via Iuris,2016,C
2215-9185,2215-9185,Ces Odontología,2022,C
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2020,C
2215-8944,,Academia & Derecho,2022,B
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2020,B
1692-6226,,Temas,2016,C
0123-4870,,Folios,2016,A2
0121-3652,,Revista Uninpahu,2014,C
0120-548X,1900-1649,Acta Biológica Colombiana,2021,B
2011-642X,,Revista Ingenio Ufpso,2016,C
0120-1751,,Revista Colombiana De Estadística,2017,B
0120-9833,,Energética,2010,C
2215-910X,,Suma De Negocios,2015,C
1900-6586,,"Revista Científica ""General José María Córdova""",2017,C
0123-8264,,Horizontes Pedagógicos,2016,C
0120-677X,,Educación Física Y Deporte,2010,C
0120-7180,,Cooperativismo & Desarrollo,2015,C
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2016,B
0120-2596,,Lecturas De Economía,2016,A2
0124-308X,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2005,C
1794-9998,,Diversitas : Perspectivas En Psicología,2016,A2
0123-580X,,Punto De Vista,2015,C
1900-0642,,Criterio Libre,2019,C
2145-132X,,Historelo : Revista De Historia Regional Y Local,2017,C
0122-5197,,Memoria Y Sociedad,2016,B
0122-011X,,"Literatura : Teoría, Historia, Crítica",2005,C
2027-4688,,Fronteras De La Historia,2019,C
0121-3784,,Livestock Research For Rural Development,2008,B
0120-5609,,Ingeniería E Investigación,2016,A1
0123-9155,,Acta Colombiana De Psicología,2019,C
1900-4257,,Perspectivas Internacionales,2016,C
1900-5016,2248-6011,Cuadernos Latinoamericanos De Administración,2022,C
0124-5821,0124-5821,Revista Virtual Universidad Católica Del Norte,2022,B
1657-9267,,Universitas Psychologica,2021,B
0122-6339,,Enunciación,2020,C
0124-2121,,Educacion Y Humanismo,2020,B
0122-8706,,Revista Corpoica,2014,A2
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2015,A2
0122-820X,,Revista Respuestas,2018,C
0120-1363,,Revista Escritos,2007,C
1900-1592,,Conservacion Colombiana,2022,C
0123-5583,,Actualizaciones En Enfermería,2016,C
0120-2812,2323-0118,Acta Agronómica,2022,B
1794-2918,,Jurídicas,2017,C
2256-1552,,Revista Ib De La Información Básica Estadística,2015,C
1692-3324,2248-4094,Revista Ingenierías Universidad De Medellín,2022,C
0120-4807,,Universitas Humanística,2019,B
1692-3324,,Revista Ingenierías Universidad De Medellín,2015,A2
1657-4672,,Plumilla Educativa,2011,C
0120-9957,2500-7440,Revista Colombiana De Gastroenterología,2021,C
,2011-799X,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2021,A2
,2145-132X,Historelo : Revista De Historia Regional Y Local,2021,A2
0120-4157,,Biomédica,2015,A1
0120-341X,,Revista Universidad Eafit,2007,C
0120-548X,,Acta Biológica Colombiana,2011,A2
1657-0790,,Profile,2015,A1
0122-7483,,Universitas Scientiarum,2009,B
0124-7913,,Bitácora Urbano Territorial,2011,B
1657-0790,,Profile,2012,A2
0120-2510,,Boletín De Antropología,2007,C
0120-2650,,Revista Colombiana De Física,2004,C
1657-3498,,Revista Institucional De La Universidad Tecnológica Del Chocó,2006,C
0124-8170,,Ciencia E Ingeniería Neogranadina,2009,C
0123-885X,,Revista De Estudios Sociales,2005,B
0120-4688,,Praxis Filosófica,2012,A2
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2011,A1
,,Colombia Médica,2006,A2
0123-885X,,Revista De Estudios Sociales,2012,A1
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2010,A2
0120-3592,,Cuadernos De Administración,2005,B
0121-0793,,Iatreia,2012,A2
0124-0579,,Estudios Socio-Jurídicos,2004,C
0041-9060,,Vniversitas,2008,B
0121-1617,,Historia Crítica,2006,B
0304-3584,,Actualidades Biológicas,2010,A2
0120-0135,,Revista De Ciencias Agricolas,2010,C
0120-8160,,Revista Escuela De Administración De Negocios,2007,C
0121-5167,,Estudios Políticos,2012,A2
0121-5167,,Estudios Políticos,2009,B
0121-750X,,Ingeniería,2014,B
1657-4583,,Uis Ingenierías,2005,C
1657-4583,,Uis Ingenierías,2004,C
0124-7107,,Universidad Y Salud,2009,C
0122-1701,,Scientia Et Technica,2012,C
0122-0667,,Revista Medica De Risaralda,2005,C
0121-3709,,Orinoquia,2008,C
0123-4870,,Folios,2008,A2
1657-2831,,Revista Colombiana De Computación,2008,C
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2013,A2
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2009,A2
0124-7905,,Entornos,2010,C
0121-7577,,Hacia La Promoción De La Salud,2005,C
0120-4807,,Universitas Humanística,2011,A2
1657-320X,,Archivos De Medicina,2012,B
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2010,A2
0123-3068,,Boletín Científico Del Museo De Historia Natural,2009,A2
0123-9015,,Revista Colombiana De Cancerología,2009,C
0121-7577,,Hacia La Promoción De La Salud,2008,B
0123-921X,,Tecnura,2007,C
1794-3841,,Hallazgos,2007,C
0120-548X,,Acta Biológica Colombiana,2005,B
0123-5923,,Estudios Gerenciales,2010,A2
0034-7426,,Revista Colombiana De Matemáticas,2008,B
0123-4676,,Fronteras De La Historia,2006,B
0123-3122,,Persona Y Bioética,2012,B
1794-9998,,Diversitas : Perspectivas En Psicología,2011,A2
1794-9998,,Diversitas : Perspectivas En Psicología,2008,B
0124-0137,,Revista Psicogente,2013,B
0041-9060,,Vniversitas,2010,A2
,,Revista Colombiana De Biotecnologia,2014,A2
1909-2474,,Revista Luna Azul,2011,A2
1692-3502,,Ensayos. Historia Y Teoría Del Arte,2009,C
1909-7794,,Revista De Derecho Privado,2016,B
1657-4214,,Perfil De Coyuntura Economica,2009,B
0121-067X,,Revista De Investigaciones,2011,C
2145-4426,,"Trilogía. Ciencia, Tecnologia Y Sociedad",2013,C
0122-7483,,Universitas Scientiarum,2005,C
2011-4532,,Eleuthera,2011,B
0124-0137,,Revista Psicogente,2014,B
1794-3159,,Poliantea,2010,C
1794-2470,,Nova: Publicación Científica En Ciencias Médicas,2010,B
1909-3888,,Nodo,2012,C
0124-8146,,Investigaciones Andina,2013,A2
0121-7593,,Revista Educación Y Pedagogía,2011,C
0124-3691,,Revista Gastrohnup,2011,C
0120-4173,,Revista De La Asociación Colombiana De Ciencias Biológicas,2007,C
0123-2576,,Medicina & Laboratorio,2012,B
1657-6276,,Pensamiento & Gestión,2009,B
0120-971X,,Ces Odontología,2012,B
0120-0739,,Colombia Forestal,2013,A2
0124-2067,,Principia Iuris,2013,B
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2009,C
1794-3108,,Revista Criminalidad,2008,C
0124-4620,,Revista Colombiana De Filosofía De La Ciencia,2011,B
2027-1786,,Revista Iberoamericana De Psicología: Ciencia Y Tecnología,2013,C
0124-177X,,Gestión Y Ambiente,2013,C
0120-3932,,Economicas Cuc,2012,C
2011-0731,,Academia Y Virtualidad,2012,C
2215-7840,,Revista Ciencias Biomédicas,2014,C
2216-0973,,Revista Cuidarte,2013,C
1692-8563,,Dimensión Empresarial,2013,B
2215-8405,,Teuken Bidikay,2013,C
1657-9089,,Infancias Imágenes,2012,C
0121-0319,,Médicas Uis,2011,B
,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2014,C
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2012,A1
2215-8421,,Voces Y Silencios,2012,C
1909-2458,,Ingeniare,2013,C
0122-4328,,Nodos Y Nudos,2013,B
2027-291X,,Revista Alimentos Hoy,2012,C
1909-793X,,Revista Teckne,2011,C
2027-8918,,Revista Biodiversidad Tropical,2011,C
1657-8651,,"Revista Opera - Observatorio De Políticas, Ejecución Y Resultados De La Administración Pública",2014,B
0122-8420,,Ciencia Y Agricultura,2014,B
1692-5858,,Encuentros,2017,C
0121-5167,,Estudios Políticos,2017,B
0121-6538,,Ánfora,2017,C
0123-4870,,Folios,2017,B
1909-3667,,Tecciencia,2017,C
1692-6900,,Pre-Til,2014,C
0012-7353,,Dyna,2018,A2
2145-549X,,Revista Logos Ciencia 6& Tecnologia,2018,B
1692-8261,,Prospectiva,2018,C
