issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
1794-7111,,Kepes,2009,C
0121-7577,,Hacia La Promoción De La Salud,2011,A2
0121-5256,,Revista Med,2014,A2
0124-8693,,Tendencias,2014,B
2011-7582,,Revista Colombiana De Cirugía,2009,B
0120-971X,,Ces Odontología,2010,C
1657-4249,,Uni-Pluriversidad,2013,C
1657-320X,,Archivos De Medicina,2010,C
1657-320X,,Archivos De Medicina,2009,C
1794-8932,,Sophia,2008,C
1794-8932,,Sophia,2011,B
1794-8886,,Memorias,2011,A2
0012-7353,,Dyna,2012,A1
1900-3803,,Entramado,2012,B
1692-3561,,Biotecnología En El Sector Agropecuario Y Agroindustrial,2014,A2
0121-6805,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2006,C
1794-5992,,Duazary,2008,C
1657-4206,,Ecos De Economía,2012,B
1692-8563,,Dimensión Empresarial,2012,C
1900-8260,,Revista De Educación En Ingeniería,2009,C
1794-4449,,Revista Lasallista De Investigación,2015,A2
2027-1174,,Magis - Revista Internacional De Investigación En Educación,2009,C
1909-8367,,Entre Ciencia E Ingenieria,2012,B
0121-182X,,Prolegomenos : Derechos Y Valores,2011,B
2011-513X,,Revista Ciencia Animal,2013,C
0122-7483,,Universitas Scientiarum,2013,A2
1794-5992,,Duazary,2009,C
0122-9354,,Revista De Medicina Veterinaria,2013,A2
2011-3080,,Revista Ces Psicología,2012,C
1657-2815,,Libre Empresa,2014,C
1657-2815,,Libre Empresa,2011,C
0123-4986,,Trabajo Social,2006,C
1909-1621,,Revista Colombiana De Enfermeria,2011,C
1794-7561,,Revista De Economía & Administración,2011,C
1909-8391,,Tesis Psicologica,2011,C
1909-0455,,Producción + Limpia,2011,A2
1900-5407,,Antípoda : Revista De Antropología Y Arqueología,2013,A2
1900-0642,,Criterio Libre,2011,B
1900-2351,,Revista Politecnica,2010,C
0124-8146,,Investigaciones Andina,2015,A2
0120-4874,,Medicina Upb,2012,B
1900-4257,,Perspectivas Internacionales,2008,C
1794-8347,,Revista Ciencias Estratégicas,2010,C
0123-0999,,Pensamiento Y Cultura,2013,B
2011-0731,,Academia Y Virtualidad,2013,C
0120-789X,,Revista Urologia Colombiana,2015,B
1657-0111,,Palobra Palabra Que Obra,2013,C
2011-8643,,Magistro,2010,C
0120-5498,,Medicina,2013,C
0121-215X,,Cuadernos De Geografía,2010,C
0120-5323,,Universitas Philosophica,2014,A2
0121-8417,,Revista Historia Y Sociedad,2012,B
0123-1472,,Cuadernos De Contabilidad,2009,C
0122-8900,,Panorama Económico,2011,C
2027-8306,,"Revista De Investigacion, Desarrollo E Innovacion",2014,B
1909-9762,,Revista Ingeniería Biomédica,2011,B
1909-7778,,Revista De Derecho Publico,2011,C
2027-1433,,Gestión & Sociedad,2011,C
2011-3080,,Revista Ces Psicología,2011,B
2145-9258,,Cultura Educacion Y Sociedad,2012,C
0123-580X,,Punto De Vista,2014,C
2145-8987,,"Perífrasis. Revista De Literatura, Teoría Y Crítica",2013,B
0123-3769,,Perspectiva Geográfica,2013,B
,,Affectio Societatis,2016,C
1909-7786,,"Revista De Derecho, Comunicaciones Y Nuevas Tecnologias",2013,C
1909-2458,,Ingeniare,2011,C
1692-7125,,@Limenth,2013,C
2011-5318,,Educacion Y Desarrollo Social,2015,C
2322-9381,,Trashumante,2015,C
2215-9185,,Ces Odontología,2014,C
2215-9177,,Ces Medicina,2015,C
1692-8261,,Prospectiva,2017,C
0122-0268,,Revista Mvz Córdoba,2017,B
1794-9165,,Ingeniería Y Ciencia,2017,B
0123-3769,,Perspectiva Geográfica,2017,C
2027-8306,,"Revista De Investigacion, Desarrollo E Innovacion",2017,C
0121-4705,,Análisis Político,2017,A1
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2014,A2
0123-4641,,Colombian Applied Linguistics Journal,2018,B
,,Luciernaga : Revista Virtual,2018,C
0121-182X,,Prolegomenos : Derechos Y Valores,2018,C
0122-9893,,Revista Derecho Del Estado,2018,A2
,2011-7477,Eidos,2021,C
1794-8886,1794-8886,Memorias,2022,C
0124-0579,2145-4531,Estudios Socio-Jurídicos,2022,C
1794-6298,,Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá),2014,C
0121-3474,,Verba Iuris,2013,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2019,C
0366-5232,,Caldasia,2016,A1
1900-7922,,La Manzana De La Discordia,2012,C
1657-8031,2665-3354,El Ágora Usb,2022,B
0124-793X,,Revista De Investigaciones Unad,2016,C
1794-3108,2256-5531,Revista Criminalidad,2022,C
,,Colombia Médica,2019,B
1909-793X,,Revista Teckne,2015,C
2215-8421,,Voces Y Silencios,2015,C
0120-4645,,Cuadernos De Administración,2016,A2
0123-3475,1909-8758,Revista Colombiana De Biotecnología,2022,B
0122-1213,,Prospectiva,2012,C
1794-9165,2256-4314,Ingeniería Y Ciencia,2021,C
2215-7360,2215-7360,Aglala,2022,C
2011-5253,,Ciudad Paz-Ando,2011,C
1794-4953,,Revista Avancesinvestigacion En Ingenieria,2011,C
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2016,A2
1794-8932,,Sophia,2020,C
0120-3886,2390-0016,Revista Facultad De Derecho Y Ciencias Políticas,2022,C
0121-4128,,Lúdica Pedagógica,2015,B
1900-3080,,Revista Nacional De Odontología,2019,C
2145-0366,,Aletheia,2013,B
2011-3501,,Dialectica Libertadora,2015,C
1794-9165,,Ingeniería Y Ciencia,2014,A2
2215-9444,,Arquetipo,2011,C
2027-8284,,Ingenieria Y Competitividad,2015,C
2811-3854,,Soluciones De Postgrados Eia,2011,C
1657-7027,2500-6177,Revista Gerencia Y Políticas De Salud,2022,C
1692-9403,,Iustitia,2015,C
1692-7311,,Equidad & Desarrollo,2019,C
2145-6569,,Revista De Psicologia Gepu,2016,B
1794-6190,2339-3459,Earth Sciences Research Journal,2021,B
0120-6230,,Revista Facultad De Ingeniería,2008,A1
2145-5147,,Desarrollo Gerencial,2019,B
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2021,B
0120-3592,,Cuadernos De Administración,2019,C
2027-8306,2389-9417,"Revista De Investigacion, Desarrollo E Innovacion",2022,B
0120-0135,2256-2273,Revista De Ciencias Agricolas,2021,B
1012-7410,,Pasturas Tropicales,2006,C
0568-3076,,Agronomía,2016,B
1794-7154,,"Saber, Ciencia Y Libertad",2010,C
,2145-7719,Revista Ces Derecho,2021,C
0121-3652,,Revista Uninpahu,2015,C
1794-192X,2256-3202,Revista Guillermo De Ockman,2022,B
1900-3102,,Ingenieria Solidaria,2016,C
0120-1468,2665-3834,Franciscanum,2021,C
2011-4532,,Eleuthera,2009,C
0123-1472,,Cuadernos De Contabilidad,2016,A2
1657-5997,,Aquichan,2020,C
2145-4892,,Revista De Psicología Universidad De Antioquia,2019,C
0120-4807,,Universitas Humanística,2021,B
0123-5362,,Revista De Economía Del Rosario,2021,C
1900-2785,,Iconofacto,2014,C
2011-222X,,Revista Colombiana De Las Artes Escénicas,2016,C
2011-7485,,Psicología Desde El Caribe,2016,A1
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2020,B
2145-6445,,Revista Latinoamericana De Estudios De Familia,2016,B
0120-100X,,Ion,2019,C
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2017,C
1794-9815,,Códices,2015,C
2146-5147,,Desarrollo Gerencial. Revista De La Facultad De Ciencias Económicas Administrativas Y Contables.,2013,C
0121-3474,2619-3752,Verba Iuris,2022,C
2027-1174,,Magis - Revista Internacional De Investigación En Educación,2017,C
2216-0388,,MUNDO FESC,2019,C
2215-8944,,Academia & Derecho,2017,B
0124-7816,,Katharsis,2015,B
1794-5992,,Duazary,2018,B
2146-5147,,Desarrollo Gerencial. Revista De La Facultad De Ciencias Económicas Administrativas Y Contables.,2012,C
0121-0777,,El Hombre Y La Máquina,2006,C
2011-7485,,Psicología Desde El Caribe,2019,B
0122-9354,2389-8526,Revista De Medicina Veterinaria,2022,C
1657-4672,,Plumilla Educativa,2012,C
2215-8405,,Teuken Bidikay,2014,C
0124-0102,,Advocatus,2016,B
0122-7238,,Revista Historia De La Educación Latinoamericana,2004,C
1909-7050,,Ciencia Y Poder Aéreo,2014,C
0041-9060,,Vniversitas,2016,A2
0366-5232,,Caldasia,2018,B
0120-0488,,Revista Colombiana De Entomología,2012,A1
0120-548X,,Acta Biológica Colombiana,2010,A2
,,Colombia Médica,2005,B
0122-0268,,Revista Mvz Córdoba,2010,A1
0120-9965,,Agronomía Colombiana,2004,C
1657-9267,,Universitas Psychologica,2005,A2
0120-9965,,Agronomía Colombiana,2012,A2
0120-3630,,Boletín De Ciencias De La Tierra,2014,A2
0123-885X,,Revista De Estudios Sociales,2004,C
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2005,B
0120-0011,,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2010,A2
0120-0275,,Revista Del Centro Nacional De Investigaciones De Café - Cenicafé,2004,C
0012-7353,,Dyna,2009,A1
0120-2952,,Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,2009,C
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2005,A2
0121-4993,,Revista De Ingeniería,2005,C
0121-3784,,Livestock Research For Rural Development,2010,B
0122-8285,,Palabra Clave,2007,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2004,C
0120-6230,,Revista Facultad De Ingeniería,2004,C
0122-1701,,Scientia Et Technica,2007,C
0120-1751,,Revista Colombiana De Estadística,2005,C
0122-9729,,Tendencias & Retos,2015,C
0123-9392,,Infectio,2004,C
0124-0137,,Revista Psicogente,2012,C
0120-9957,,Revista Colombiana De Gastroenterología,2014,B
0121-5256,,Revista Med,2006,B
0122-4328,,Nodos Y Nudos,2009,B
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2009,A1
0120-4661,,Historia Y Espacio,2006,C
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2013,A1
0123-2126,,Ingeniería Y Universidad,2013,A2
0120-8705,,Revista Ces Medicina,2010,B
1657-7558,,Oasis,2014,B
0124-4639,,Revista Universidad Y Empresa,2006,C
0120-1751,,Revista Colombiana De Estadística,2010,A1
1794-3841,,Hallazgos,2011,B
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2008,A2
0123-7047,,Medunab,2011,C
0121-5167,,Estudios Políticos,2008,B
1909-2474,,Revista Luna Azul,2008,C
1692-3375,,Umbral Científico,2007,C
1692-7273,,Revista Ciencias De La Salud,2010,A2
1692-3561,,Biotecnología En El Sector Agropecuario Y Agroindustrial,2008,C
0120-386X,,Revista Facultad Nacional De Salud Publica,2013,A2
1692-0880,,Medicina,2009,C
2011-639X,,Revista De Investigación,2010,C
1794-7561,,Revista De Economía & Administración,2013,C
2145-132X,,Historelo : Revista De Historia Regional Y Local,2013,A2
0120-2510,,Boletín De Antropología,2005,C
2145-6097,,Revista De Investigacion Agraria Ambiental,2013,C
0122-4409,,Papel Político,2013,A2
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2014,B
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2008,C
0124-7913,,Bitácora Urbano Territorial,2006,C
1692-9918,,Ingenieria De Recursos Naturales Y Del Ambiente,2008,C
0122-8803,,Historia Caribe,2011,B
0123-2479,,Revista Del Instituto Colombiano De Derecho Procesal,2008,C
1900-9607,,Revista Ces Medicina Veterinaria Y Zootecnia,2010,C
0122-1213,,Prospectiva,2013,B
0120-0453,,Revista Sociedad Colombiana De Oftalmología,2013,C
0120-789X,,Revista Urologia Colombiana,2013,B
1909-2814,,Revista Q,2010,C
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2015,B
0123-1472,,Cuadernos De Contabilidad,2014,A2
0120-4874,,Medicina Upb,2009,C
0121-0041,,Revista Colombiana De Medicina Física Y Rehabilitación,2010,C
0123-4366,,Revista De Derecho Privado,2010,C
0120-4874,,Medicina Upb,2013,B
1692-7311,,Equidad & Desarrollo,2010,C
0120-0062,,Ideas Y Valores,2013,A2
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2011,C
0121-8697,,Revista De Derecho,2010,A2
1900-9895,,Latinoamericana De Estudios Educativos,2013,B
0120-100X,,Ion,2010,C
1657-6527,,"Fuentes, El Reventón Energético",2015,B
0121-6805,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2013,A2
0120-8454,,Análisis,2014,C
2145-132X,,Historelo : Revista De Historia Regional Y Local,2011,A2
0122-0799,,Revista Instituto Colombiano De Derecho Tributario - Icdt,2012,C
,,Affectio Societatis,2014,C
0120-4319,,Universitas Odontologica,2010,C
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2011,B
0486-6525,,Revista Colombiana De Antropología,2014,A2
1657-1959,,La Propiedad Inmaterial,2011,B
0123-9678,,Ventana Informática,2013,C
1692-6900,,Pre-Til,2013,C
0124-2121,,Educacion Y Humanismo,2013,C
1900-2785,,Iconofacto,2010,C
0123-8574,,Asfaltos Y Pavimentos,2012,C
2248-762X,,Redes De Ingenieria,2014,C
2216-0973,,Revista Cuidarte,2014,B
2145-1362,,R.F.S. Revista Facultad De Salud Universidad Surcolombiana,2014,C
2145-6445,,Revista Latinoamericana De Estudios De Familia,2013,C
1692-1879,,Revista Colombiana De Rehabilitacion,2012,C
1794-1598,,Inciso,2012,C
1692-0899,,Ingenium,2013,C
,,Eidos,2013,A2
1657-9089,,Infancias Imágenes,2015,C
0120-548X,,Acta Biológica Colombiana,2017,B
0124-0781,,Reflexión Política,2017,B
1909-7794,,Revista De Derecho Privado,2015,B
0124-8146,,Investigaciones Andina,2018,B
0120-6230,,Revista Facultad De Ingeniería,2018,B
1794-3108,,Revista Criminalidad,2018,B
0123-9392,,Infectio,2018,B
1900-2351,,Revista Politecnica,2018,C
1657-5997,,Aquichan,2018,C
2027-4688,,Fronteras De La Historia,2018,C
1900-0642,,Criterio Libre,2018,B
1900-9895,,Latinoamericana De Estudios Educativos,2018,B
0121-7577,2462-8425,Hacia La Promoción De La Salud,2022,B
1657-8953,,Civilizar,2018,C
0120-4688,,Praxis Filosófica,2019,C
2344-8652,2344-8652,Investigación e Innovación en Ingenierías,2022,B
2145-132X,,Historelo : Revista De Historia Regional Y Local,2019,C
0120-3916,,Revista Colombiana De Educación,2016,A2
0121-7577,,Hacia La Promoción De La Salud,2020,B
1657-5997,,Aquichan,2008,A2
0121-2923,,Palmas,2010,C
0122-6339,,Enunciación,2016,C
1794-2470,,Nova: Publicación Científica En Ciencias Médicas,2015,A2
0123-7047,,Medunab,2015,B
1909-0455,,Producción + Limpia,2016,A2
0120-0542,,Boletín Científico Cioh,2015,B
1794-9920,,Face Revista De La Facultad De Ciencias Economicas U De Pamplona,2022,C
1794-7030,,Hojas Y Hablas,2016,C
0121-117X,,Ensayos De Economía,2016,B
0123-4471,,Revista Del Departamento De Antropología Y Sociología Facultad De Ciencias Jurídicas Y Sociales,2016,B
0486-6525,2539-472X,Revista Colombiana De Antropología,2022,A2
0121-8697,2145-9355,Revista De Derecho,2021,C
0120-0534,,Revista Latinoamericana De Psicología,2022,A2
0120-3886,,Revista Facultad De Derecho Y Ciencias Políticas,2019,C
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2016,A2
1794-1237,2463-0950,Revista Eia,2022,B
1657-4583,,Uis Ingenierías,2016,B
1900-5407,,Antípoda : Revista De Antropología Y Arqueología,2019,A2
0120-3347,,Revista Colombiana De Anestesiología,2020,B
0124-3551,,Revista Cife,2009,C
1909-230X,,Ciencia Política,2009,C
0121-7372,,Repertorio De Medicina Y Cirugía,2013,C
1692-715X,,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",2020,B
2027-2448,,Revista Pensamiento Americano,2019,C
0120-9965,,Agronomía Colombiana,2020,C
2011-7485,,Psicología Desde El Caribe,2020,B
2011-0324,2665-4814,Cs,2022,B
1657-3986,,Desde El Jardín De Freud,2016,C
1909-8367,,Entre Ciencia E Ingenieria,2016,B
1657-6799,,Revista Jurídica Piélagus,2014,C
0121-0807,2145-8464,Salud Uis,2022,B
0123-4986,,Trabajo Social,2010,C
0121-1129,,Revista Facultad De Ingeniería,2020,B
2011-3080,,Revista Ces Psicología,2015,A2
0120-9965,,Agronomía Colombiana,2017,B
1900-9909,,Nexus,2010,C
0121-4705,,Análisis Político,2020,A2
0120-338X,,Forma Y Función,2014,A2
0122-8706,,Revista Corpoica,2020,C
1909-4450,2256-5027,Revista Republicana,2022,C
1692-0279,,Ad-Minister Revista Escuela De Administración,2020,B
0121-7607,,Ambiente Y Desarrollo,2019,C
0120-131X,,Cuestiones Teológicas Y Filosóficas,2014,B
1692-7273,2145-4507,Revista Ciencias De La Salud,2022,C
1794-5887,2539-1208,Co-Herencia,2022,A2
0562-5351,,Suelos Ecuatoriales,2015,C
0121-4772,2248-4337,Revista Cuadernos De Economía,2021,B
1794-4724,,Avances En Psicología Latinoamericana,2015,A1
0121-5256,1909-7700,Revista Med,2022,C
0124-4035,,Desafíos,2015,A2
2011-4540,,Nuevo Derecho,2013,C
1909-8367,,Entre Ciencia E Ingenieria,2015,B
1794-9831,,Ciencia Y Cuidado,2015,C
1794-9165,,Ingeniería Y Ciencia,2009,B
1692-8261,2216-1368,Prospectiva,2022,B
2011-222X,,Revista Colombiana De Las Artes Escénicas,2015,C
,,Ingenierias Usbmed,2015,C
0124-0579,,Estudios Socio-Jurídicos,2016,A2
1900-5407,2011-4273,Antípoda : Revista De Antropología Y Arqueología,2021,A2
1692-5858,2216-135X,Encuentros,2021,B
0121-0319,1794-5240,Médicas Uis,2021,C
0120-4645,2256-5078,Cuadernos De Administración,2021,C
,,Colombia Médica,2007,A2
0034-7434,,Revista Colombiana De Obstetricia Y Ginecología,2012,A2
0120-6230,,Revista Facultad De Ingeniería,2006,C
0121-7593,,Revista Educación Y Pedagogía,2005,C
1794-4724,,Avances En Psicología Latinoamericana,2013,A1
0120-2812,,Acta Agronómica,2010,A2
0121-7550,,Nomadas,2006,C
0121-3628,,Estudios De Filosofía,2011,A2
0123-3033,,Ingeniería Y Competitividad,2013,A2
1657-6535,,Precedente,2016,C
0124-4108,,Perspectivas En Nutrición Humana,2013,A2
0120-4130,,Poligramas,2007,C
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2009,A2
1692-3324,,Revista Ingenierías Universidad De Medellín,2005,C
0123-5923,,Estudios Gerenciales,2006,B
0304-3584,,Actualidades Biológicas,2008,A2
0121-7593,,Revista Educación Y Pedagogía,2004,C
0121-5167,,Estudios Políticos,2006,C
0120-131X,,Cuestiones Teológicas Y Filosóficas,2008,C
0072-0992,,Geología Colombiana,2007,C
1657-4206,,Ecos De Economía,2006,C
0122-9354,,Revista De Medicina Veterinaria,2011,A2
0122-3461,,Ingeniería & Desarrollo,2004,B
0121-4004,,Vitae,2013,A1
0123-5923,,Estudios Gerenciales,2015,A2
1657-8236,,Gerencia Tecnológica Informática - Gti,2009,C
0124-4035,,Desafíos,2010,C
0120-3592,,Cuadernos De Administración,2007,A2
0120-2804,,Revista Colombiana De Química,2006,A2
0120-4165,,Controversia,2009,C
0121-7577,,Hacia La Promoción De La Salud,2007,C
0121-5469,,Revista Colombiana De Psicología,2011,A1
0123-4412,,Estudios De Literatura Colombiana,2008,C
0120-3053,,Apuntes Del Cenes,2006,C
0120-6346,,Semestre Económico,2009,C
0123-5095,,Cuestiones De Filosofía,2006,C
1657-4583,,Uis Ingenierías,2012,B
0124-4639,,Revista Universidad Y Empresa,2008,C
0124-6127,,Discusiones Filosóficas,2010,A2
0124-6127,,Discusiones Filosóficas,2007,B
1692-7273,,Revista Ciencias De La Salud,2007,C
0120-2812,,Acta Agronómica,2015,A2
0120-338X,,Forma Y Función,2012,A2
0120-1751,,Revista Colombiana De Estadística,2007,A2
0121-4004,,Vitae,2010,A1
0120-0739,,Colombia Forestal,2009,B
1794-9165,,Ingeniería Y Ciencia,2008,B
1657-8961,,Pensamiento Psicológico,2014,A1
0122-4409,,Papel Político,2011,A2
0123-0999,,Pensamiento Y Cultura,2008,C
0041-9060,,Vniversitas,2013,A2
0123-4072,,Lumina,2008,C
0120-1751,,Revista Colombiana De Estadística,2012,A1
1794-8886,,Memorias,2012,A2
0121-1129,,Revista Facultad De Ingeniería,2014,A2
0123-7799,,Tecno Lógicas,2014,A2
1794-192X,,Revista Guillermo De Ockman,2006,C
1909-2474,,Revista Luna Azul,2012,A2
1692-1259,,Epsilon,2011,C
2145-4426,,"Trilogía. Ciencia, Tecnologia Y Sociedad",2011,C
0120-6788,,Matemáticas: Enseñanza Universitaria,2009,B
1794-3841,,Hallazgos,2014,B
1657-0308,,Revista De Arquitectura,2013,B
0121-5612,,Colombia Internacional,2014,A2
2011-3188,,Dearquitectura,2011,B
0124-5821,,Revista Virtual Universidad Católica Del Norte,2012,B
1794-3159,,Poliantea,2011,C
0121-117X,,Ensayos De Economía,2012,C
0123-4986,,Trabajo Social,2015,C
0123-1154,,Revista Ibero- Latinoamericana De Seguros,2013,B
1909-1621,,Revista Colombiana De Enfermeria,2010,C
0120-4203,,Contaduría Universidad De Antioquia,2008,C
1900-9895,,Latinoamericana De Estudios Educativos,2011,B
2011-0413,,Revista Investigaciones Aplicadas,2014,C
1692-1879,,Revista Colombiana De Rehabilitacion,2009,C
1692-6900,,Pre-Til,2010,C
1657-3412,,Cuadernos Hispanoamericanos De Psicología,2013,C
2145-132X,,Historelo : Revista De Historia Regional Y Local,2010,C
1900-3080,,Revista Nacional De Odontología,2013,C
1692-8261,,Prospectiva,2015,B
0120-0445,,Revista De La Sociedad Colombiana De Psicoanálisis,2012,C
0121-0483,,Derecho Penal Y Criminología,2013,B
1900-7841,,Revista Colombiana Salud Libre,2013,C
1794-7928,,Spei Domus,2013,C
0123-4870,,Folios,2014,A2
1692-8989,,Economía & Región,2013,B
2215-7840,,Revista Ciencias Biomédicas,2013,C
1909-4450,,Revista Republicana,2011,A2
,,Eidos,2011,A2
1909-3063,,"Revista De Relaciones Internacionales, Estrategia Y Seguridad",2013,A2
0120-1468,,Franciscanum,2011,A2
1692-9403,,Iustitia,2011,C
1794-211X,,Vínculos,2012,C
0121-0319,,Médicas Uis,2012,B
0122-8285,,Palabra Clave,2012,A2
0124-5376,,Biota Colombiana,2013,B
2011-7574,,Investigación & Desarrollo,2012,A2
2145-9444,,Zona Proxima,2012,B
2145-2660,,Vitae,2015,A1
2027-291X,,Revista Alimentos Hoy,2014,C
2145-6194,,Revista Civilizar De Empresa Y Economía,2014,C
2027-7458,,Analecta Política,2013,C
1909-9843,,Iter Ad Veritatem,2012,C
1657-2831,,Revista Colombiana De Computación,2013,C
2248-5759,,Revista Salud Bosque,2013,C
2027-7822,,Acta Odontologica Colombiana,2014,C
1692-8261,,Prospectiva,2014,B
0120-4211,,Bistua : Revista  De La Facultad De Ciencias Básicas,2014,B
1794-3108,,Revista Criminalidad,2017,B
0120-789X,,Revista Urologia Colombiana,2017,C
2011-4532,,Eleuthera,2014,C
0120-4807,,Universitas Humanística,2014,A2
2027-2448,,Revista Pensamiento Americano,2018,C
0120-0283,,Boletín De Geología,2018,C
0121-6805,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2018,B
0121-4004,,Vitae,2018,B
0124-0137,,Revista Psicogente,2018,C
0122-6339,,Enunciación,2018,C
2027-4688,2539-4711,Fronteras De La Historia,2022,B
2256-1676,,I+D Revista De Investigaciones,2016,C
0120-2456,,Anuario Colombiano De Historia Social,2019,C
0120-3916,,Revista Colombiana De Educación,2015,A2
1794-7154,,"Saber, Ciencia Y Libertad",2011,B
2248-6046,2011-7663,Finanzas Y Política Económica,2021,C
1900-0642,2323-0886,Criterio Libre,2021,C
1657-320X,,Archivos De Medicina,2016,B
1692-7273,2145-4507,Revista Ciencias De La Salud,2021,C
0121-0807,,Salud Uis,2004,B
0120-341X,,Revista Universidad Eafit,2010,C
,,Eidos,2016,A2
0124-3691,,Revista Gastrohnup,2016,C
0120-0453,,Revista Sociedad Colombiana De Oftalmología,2006,C
1657-4923,,Jangwa Pana,2014,C
1909-4450,,Revista Republicana,2020,C
0568-3076,,Agronomía,2013,B
,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2020,C
0124-2253,,Revista Científica,2017,C
0041-9095,,Universitas Médica,2015,B
2346-3279,2711-0044,En Contexto,2022,C
2145-5074,,Mundo Amazonico,2015,C
2215-9185,,Ces Odontología,2016,C
2011-7485,,Psicología Desde El Caribe,2015,A1
0124-308X,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2007,C
2145-0366,2145-0366,Aletheia,2022,C
0120-5323,2346-2426,Universitas Philosophica,2022,C
0034-7450,,Revista Colombiana De Psiquiatría,2015,A1
1794-161X,,Revista Intropica,2015,C
2027-1034,,Bio-Grafia,2016,C
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2014,A1
1900-3102,,Ingenieria Solidaria,2020,C
0123-7810,,Revista Odontos Odontologia Integral,2012,C
0121-215X,2256-5442,Cuadernos De Geografía,2022,B
1909-4450,,Revista Republicana,2019,C
0120-0143,,Fitopatologia Colombiana,2016,B
0120-6346,2248-4345,Semestre Económico,2022,C
0012-7353,,Dyna,2020,B
0121-4705,,Análisis Político,2015,A2
0121-7372,,Repertorio De Medicina Y Cirugía,2006,C
0122-7483,,Universitas Scientiarum,2018,A2
0123-2126,,Ingeniería Y Universidad,2020,B
0120-8748,,Acta Neurológica Colombiana,2016,A2
2322-9721,,Latin American Journal Of Content & Language Integrated Learning,2016,C
0121-7593,,Revista Educación Y Pedagogía,2008,C
0124-0137,,Revista Psicogente,2016,B
0486-6525,,Revista Colombiana De Antropología,2004,C
0123-1294,,Educación Y Educadores,2017,B
1909-3063,,"Revista De Relaciones Internacionales, Estrategia Y Seguridad",2019,C
0121-0041,,Revista Colombiana De Medicina Física Y Rehabilitación,2016,C
0120-2650,,Revista Colombiana De Física,2006,C
0120-1263,2390-0032,Escritos,2021,C
2216-1473,,Revista Investigium Ire: Ciencias Sociales Y Humanas,2015,C
0120-4203,2590-4604,Contaduría Universidad De Antioquia,2022,C
0123-3432,,Íkala,2020,B
1794-192X,,Revista Guillermo De Ockman,2019,B
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2015,A2
2215-9177,,Ces Medicina,2019,C
0120-3754,,Administración & Desarrollo,2012,C
1794-6298,,Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá),2016,C
0041-9060,2011-1711,Vniversitas,2022,C
0121-4004,,Vitae,2020,C
0120-7555,,Turismo Y Sociedad,2015,C
0121-3784,,Livestock Research For Rural Development,2014,B
0120-0011,2357-3848,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2022,C
2215-9177,,Ces Medicina,2018,C
,1657-9534,Colombia Médica,2021,B
0120-1751,2389-8976,Revista Colombiana De Estadística,2021,B
0121-8697,,Revista De Derecho,2016,A2
2215-8987,,Arka Revista De Arquitectura,2015,C
2145-1389,2463-1140,Signos,2022,C
0124-0137,,Revista Psicogente,2015,B
0120-131X,2389-9980,Cuestiones Teológicas Y Filosóficas,2022,C
0122-6517,,Inge-Cuc,2017,B
0123-4412,2665-3273,Estudios De Literatura Colombiana,2022,A1
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2014,A2
1657-320X,2339-3874,Archivos De Medicina,2021,C
0121-6538,2248-6941,Ánfora,2021,C
0122-0667,,Revista Medica De Risaralda,2015,B
1657-8236,,Gerencia Tecnológica Informática - Gti,2006,C
2011-7582,,Revista Colombiana De Cirugía,2012,A2
